Statistic Measure	Naive Bayes	Random Forest	SVM	KNN
Precision	0.933391309792	0.910379869824	0.919842459219	0
Accuracy	0.935024616068	0.910484929223	0.906976724089	0
Recall	0.927585073735	0.893717270419	0.878219654886	0
F_measure	0.929923020186	0.899308951019	0.887535550221	0
